Product Name,Product Price,Product Sold,Product Location,Name Store,Product Official Store,Product Rating,Product Link
"ELVICTO PAKET BRIGHT | BRIGHTENING SERUM, SUNSCREEN, BRIGHT UP MOISTURIZER | Paket Skincare Pencerah untuk Mencerahkan, Membersihkan, Merawat, dan Melindungi Kulit Wajah Pria",Rp326.000,4.92rb+ terjual,Tangerang,ELVICTO,True,4.9,https://www.tokopedia.com/elvictomastermen/elvicto-paket-bright-brightening-serum-sunscreen-bright-up-moisturizer-paket-skincare-pencerah-untuk-mencerahkan-membersihkan-merawat-dan-melindungi-kulit-wajah-pria-1729387414767568201?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
"Hanasui Skincare Flawless Glow 10 -Day, Night, Cleanser, Essence,cream",Rp21.390,4.92rb+ terjual,Bandung,Elysia Indonesia,False,4.9,https://www.tokopedia.com/elysiaindonesia/hanasui-skincare-flawless-glow-10-day-night-cleanser-essence-cream-essence-3707a?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
"KYMM SKIN [Free Pouch] Glow Package LEVEL 1 [Face Wash 60ml, Face Mist 60ml, Bakuchiol Serum 20ml, Day Cream 10gr, Night Cream 10gr] | Paket Glowing Premium | Skincare Perawatan Wajah Pencerah Mencerahkan Kulit Kusam",Rp120.000,4.630+ terjual,Kab. Sleman,Kymm Skin Official Store,True,4.6,https://www.tokopedia.com/kymmskin/kymm-skin-free-pouch-glow-package-level-1-face-wash-60ml-face-mist-60ml-bakuchiol-serum-20ml-day-cream-10gr-night-cream-10gr-paket-glowing-premium-skincare-perawatan-wajah-pencerah-mencerahkan-kulit-kusam-60ml-5d222?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
BIOAQUA x DORAEMON Skincare Set Anak Paket 5pcs Paket Skincare Anak Perawatan Wajah,Rp129.000,4.9250+ terjual,Kab. Tangerang,Bioaqua official shop,True,4.9,https://www.tokopedia.com/bioaquaofficialshop/bioaqua-x-doraemon-skincare-set-anak-paket-5pcs-paket-skincare-anak-perawatan-wajah-hydrating-a49c5?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
Bioaqua 4pcs Skincare Paket Niacinamide Glowing & Acne set Skincare Anak,Rp84.000,5.025 terjual,Bekasi,Salsabilku.id,False,5.0,https://www.tokopedia.com/salsabilku/bioaqua-4pcs-skincare-paket-niacinamide-glowing-acne-set-skincare-anak-hijau-anti-acne-3c23a?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
Theraskin Advanced Acne Basic Skincare,Rp133.200,4.9100+ terjual,Tangerang Selatan,Theraskin Kosmetika,True,4.9,https://www.tokopedia.com/theraskinkosmetika/theraskin-advanced-acne-basic-skincare?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
( DOKTIF APPROVED ) Bening's NEW Paketan Dasar Skincare I Perawatan Wajah,Rp555.000,4.850rb+ terjual,Jakarta Selatan,Benings Clinic Shop,True,4.8,https://www.tokopedia.com/benings-clinic-shop/doktif-approved-bening-s-new-paketan-dasar-skincare-i-perawatan-wajah-1729565442678687431?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
SOMETHINC [4 PCS] Paket Skincare Berlian Diamond + Toner,Rp400.160,5.0250+ terjual,Tangerang,SOMETHINC Official,True,5.0,https://www.tokopedia.com/somethinc/somethinc-4-pcs-paket-skincare-berlian-diamond-toner-skin-barrier?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
Skintific Vitamin C Series Skincare Brightening Glow Cleanser Sunscreen SPF 50 PA++++,Rp109.900,5.06 terjual,Surabaya,DuniaKecantikan,True,5.0,https://www.tokopedia.com/dkmall/skintific-vitamin-c-series-skincare-brightening-glow-cleanser-sunscreen-spf-50-pa-cleanser-vit-c-38d94?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
OMG OH MY GLOW Skincare - Peach Glowing Cream / Face Wash / Toner,Rp4.150,5.0500+ terjual,Jakarta Barat,HNCbeauty,False,5.0,https://www.tokopedia.com/hncbeauty/omg-oh-my-glow-skincare-peach-glowing-cream-face-wash-toner-face-wash-9gr?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
【SALE】 Glad2Glow 4pcs  Bundle 4in1 Paket Skincare Moisturizer Serum Face Wash-ACNE KIT GLOWING KIT Dark Spot VC Bright Barrier Set,Rp146.500,5.0100+ terjual,Kab. Tangerang,Glad2Glow Official Store,True,5.0,https://www.tokopedia.com/glad2glow/sale-glad2glow-4pcs-bundle-4in1-paket-skincare-moisturizer-serum-face-wash-acne-kit-glowing-kit-dark-spot-vc-bright-barrier-set-1730809629720413779?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
"Elsheskin 15% Vitamin C+ Glow Advance Serum 20ml - Brightening Skincare, Serum Wajah Tampak Lebih Cerah dan Glowing, Mencerahkan Kulit Kusam, Memudarkan Dark Spots, Bekas Jerawat, Melindungi Kulit dari Polusi, Membantu Mencegah Penuaan Dini,",Rp125.000,5.060+ terjual,Tangerang,ElsheSkin,True,5.0,https://www.tokopedia.com/elshe-skin/elsheskin-15-vitamin-c-glow-advance-serum-20ml-brightening-skincare-serum-wajah-tampak-lebih-cerah-dan-glowing-mencerahkan-kulit-kusam-memudarkan-dark-spots-bekas-jerawat-melindungi-kulit-dari-polusi-membantu-mencegah-penuaan-dini-1730886746859471933?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
Nuface Nu Glow Brighten & Supple Skin Facial Wash 80g | Toner 100ml | Serum 20ml | Day Cream & Night Cream 15g | Paket Skincare Brightening,Rp22.000,4.9100+ terjual,Jakarta Barat,Kios 0fficial,True,4.9,https://www.tokopedia.com/kios-0fficial/nuface-nu-glow-brighten-supple-skin-facial-wash-80g-toner-100ml-serum-20ml-day-cream-night-cream-15g-paket-skincare-brightening-1729689376932071677?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
Moell Special Bundling Hair Lotion & Shampoo - Skincare Baby - Natural,Rp125.000,5.01rb+ terjual,Jakarta Utara,Moell Official Store,True,5.0,https://www.tokopedia.com/moellofficial/moell-special-bundling-hair-lotion-shampoo-skincare-baby-natural-free-bodywash-38899?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
Nahda skincare 100% ORIGINAL bpom (PROMO BIG SALE TERBATAS),Rp165.000,4.91rb+ terjual,Kab. Tangerang,piia_Beautyskincare13,False,4.9,https://www.tokopedia.com/piiabeautyskincare13/nahda-skincare-100-original-bpom-promo-big-sale-terbatas-acne-noserum?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
