Product Name,Product Price,Product Sold,Product Location,Name Store,Product Official Store,Product Rating,Product Link
SKINTIFIC Mugwort mask acne clay stick 40g,Rp82.000,0,Jakarta Pusat,HomeCare-Official,False,No Rating,https://www.tokopedia.com/homecare-official/skintific-mugwort-mask-acne-clay-stick-40g-1730990376386856627?extParam=ivf%3Dfalse%26keyword%3Dskincare&src=topads
Juva by zap Wrinkle Warrior Serum 14 ml,Rp189.000,60+ terjual,Jakarta Barat,Juva by ZAP,True,No Rating,https://www.tokopedia.com/juvabyzap/juva-by-zap-wrinkle-warrior-serum-14-ml-1730839518047339664?extParam=ivf%3Dfalse%26keyword%3Dskincare&src=topads
Serum Avoskin Miraculous Refining 30ml-AHA BHA-Waktunya Eksfoliasi,Rp231.000,10rb+ terjual,Kab. Sleman,Avoskin,True,No Rating,https://www.tokopedia.com/avoskinofficial/serum-avoskin-miraculous-refining-30ml-aha-bha-waktunya-eksfoliasi?extParam=ivf%3Dfalse%26keyword%3Dskincare&src=topads
NPURE 30ML Face Toner Centella Asiatica (Cica Series),Rp21.000,10rb+ terjual,Jakarta Utara,NPURE Official,True,No Rating,https://www.tokopedia.com/npure/npure-30ml-face-toner-centella-asiatica-cica-series-kemasan-baru-d4e55?extParam=ivf%3Dtrue%26keyword%3Dskincare&src=topads
1 PAKET SKINCARE +  GOLD SERUM (FOR ALL SKIN) ARTHA LDT+ FREE POUCH,Rp135.000,1 terjual,Kab. Situbondo,arthaldtoffice,False,No Rating,https://www.tokopedia.com/arthaldtoffice/1-paket-skincare-gold-serum-for-all-skin-artha-ldt-free-pouch?extParam=ivf%3Dfalse%26keyword%3Dskincare&src=topads
Glowsophy Watermelon Brightening Moisturizer Skin Barrier Niacinamide Gel Day and Night Skincare 100 ml,Rp45.000,4.9100rb+ terjual,Jakarta Timur,Glowsophy,True,4.9,https://www.tokopedia.com/glowsophy/glowsophy-watermelon-brightening-moisturizer-skin-barrier-niacinamide-gel-day-and-night-skincare-100-ml-1729726483781420415?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
SKINTIFIC Gentle Retinol Anti-Aging 2pcs Paket Skincare Set | Retinol A Skin Renewal Moisturizer 30g +Gentle A Retinol Renewal Serum 20ml,Rp241.001,5.06rb+ terjual,Jakarta Timur,Skintific Official Store,True,5.0,https://www.tokopedia.com/skintific/skintific-gentle-retinol-anti-aging-2pcs-paket-skincare-set-retinol-a-skin-renewal-moisturizer-30g-gentle-a-retinol-renewal-serum-20ml?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
PAKET BROMEN PERSONAL CARE DAPAT 4 | SKINCARE COWOK | BRIGHT SOAP - FACIAL WASH - ACNE SPOT GEL - MOISTURIZER / SUNSCREEN,Rp99.000,5.0100+ terjual,Surabaya,Bromen Official Store,True,5.0,https://www.tokopedia.com/bromenofficial/paket-bromen-personal-care-dapat-4-skincare-cowok-bright-soap-facial-wash-acne-spot-gel-moisturizer-sunscreen-1731030619222738679?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
MS Glow for Men - Paket Pencerah Glowing Skincare Pria Brightening,Rp90.000,4.9750+ terjual,Bandung,Bening's Official Store,True,4.9,https://www.tokopedia.com/beningsofficials/ms-glow-for-men-paket-pencerah-glowing-skincare-pria-brightening-bright-cream-31315?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
Bening's New Packaging Paket Dasar Skincare,Rp555.000,5.0100+ terjual,Jakarta Selatan,Benings Clinic Indonesia Official,True,5.0,https://www.tokopedia.com/officialbeningsclinic/bening-s-new-packaging-paket-dasar-skincare-brightening-aae69?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
Clorismen Brightening Series - Skincare Mencerahkan Wajah & Menghilangkan Bintik Gelap Pencerah Pelembab Pria Acid Lotion,Rp159.000,4.850rb+ terjual,Jakarta Timur,CLORISMEN,True,4.8,https://www.tokopedia.com/clorismenofficialshop/clorismen-brightening-series-skincare-mencerahkan-wajah-menghilangkan-bintik-gelap-pencerah-pelembab-pria-acid-lotion-1729384873274738525?extParam=ivf%3Dtrue%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
PROMO NAHDA SKINCARE PAKET [ACNE / NORMAL] ORIGINAL 100%,Rp149.999,4.9500+ terjual,Serang,BLESS SKIN_NEW,False,4.9,https://www.tokopedia.com/blessskin1/promo-nahda-skincare-paket-acne-normal-original-100-paket-normal?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
PIGEON TEENS SKINCARE FULL SIZE COMPLETE KIT  | Skincare Kit Full Size Remaja| Paket Lengkap Skincare Kit Remaja| Pilih Sesuai Jenis Kulit| Free Pouch,Rp215.000,4.9100+ terjual,Tangerang Selatan,Pigeon Teens Indonesia,True,4.9,https://www.tokopedia.com/pigeonteensindo/pigeon-teens-skincare-full-size-complete-kit-skincare-kit-full-size-remaja-paket-lengkap-skincare-kit-remaja-pilih-sesuai-jenis-kulit-free-pouch-acne-ranger-micellar-oil-da070?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
OMG Oh My Glow Bright Booster Skincare Series | Face Wash | Moisturizer | Sunscreen | Serum,Rp19.600,4.9500+ terjual,Semarang,Qeila Store Beauty,False,4.9,https://www.tokopedia.com/qeilastorebeauty/omg-oh-my-glow-bright-booster-skincare-series-face-wash-moisturizer-sunscreen-serum-omgfw100gr-3ccb3?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
Daviena Skincare Gold Series | Asisten Cantik,Rp55.000,4.92rb+ terjual,Tangerang Selatan,DAVIENA SKINCARE OFFICIAL ID,False,4.9,https://www.tokopedia.com/asistencantik/daviena-skincare-gold-series-asisten-cantik-facial-wash?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
La Roche Posay 10% Pure Niacinamide Serum - 10 ml,Rp185.000,40+ terjual,Tangerang,Beauty Dazzle,False,No Rating,https://www.tokopedia.com/beautydazzle/la-roche-posay-10-pure-niacinamide-serum-10-ml?extParam=ivf%3Dfalse%26keyword%3Dskincare&src=topads
SK-II/SK2/SKII/SK II GENOPTICS ULTRAURA ULTRA AURA ESSENCE,Rp2.000.000,40+ terjual,Jakarta Utara,SK-II LOVERS SHOP,False,No Rating,https://www.tokopedia.com/skiiloversshop/sk-ii-sk2-skii-sk-ii-genoptics-ultraura-ultra-aura-essence-30-ml?extParam=ivf%3Dfalse%26keyword%3Dskincare&src=topads
Whitelab [UPGRADE] N10-Dose+ Brightening Serum Niacinamide 10% - Pencerah wajah Mencerahkan,Rp76.800,100rb+ terjual,Jakarta Utara,Whitelab_id_NEW,True,No Rating,https://www.tokopedia.com/whitelab/whitelab-upgrade-n10-dose-brightening-serum-niacinamide-10-pencerah-wajah-mencerahkan-1729701049888114320?extParam=ivf%3Dtrue%26keyword%3Dskincare&src=topads
SK-II/SK2/SKII/SK II GENOPTICS AURA ESSENCE 75 ML,Rp4.050.000,80+ terjual,Jakarta Utara,SK-II LOVERS SHOP,False,No Rating,https://www.tokopedia.com/skiiloversshop/sk-ii-sk2-skii-sk-ii-genoptics-aura-essence-75-ml?extParam=ivf%3Dfalse%26keyword%3Dskincare&src=topads
"Sulwhasoo Concentrated Ginseng Rejuvenating Serum - Serum Anti Aging, Essence, Boosting Serum, Perawatan Wajah, Strengthen Skin Barrier, Ginseng",Rp1.911.000,100+ terjual,Tangerang,Sulwhasoo Official Store,True,No Rating,https://www.tokopedia.com/sulwhasoo-offici/sulwhasoo-concentrated-ginseng-rejuvenating-serum-serum-anti-aging-essence-boosting-serum-perawatan-wajah-strengthen-skin-barrier-ginseng-1730815359988172458?extParam=ivf%3Dtrue%26keyword%3Dskincare&src=topads
VICCI | EIEM Beauty All Series-skincare-serum-moist ORIGINAL,Rp35.900,4.9500+ terjual,Surabaya,VICCI Beauty House,False,4.9,https://www.tokopedia.com/viccibeautyhouse/vicci-eiem-beauty-all-series-skincare-serum-moist-original-shooting-toner-8e790?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
[SPECIAL DOKTIF Approved] Glowsophy Watermelon Brightening Moisturizer Skin Barrier Niacinamide Gel Day and Night Skincare 100 ml,Rp45.000,4.910rb+ terjual,Jakarta Timur,Glowsophy,True,4.9,https://www.tokopedia.com/glowsophy/special-doktif-approved-glowsophy-watermelon-brightening-moisturizer-skin-barrier-niacinamide-gel-day-and-night-skincare-100-ml-1730631429969577343?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
Viva Paket Skincare Promo Hemat GLOWING FLEK HITAM ANTI AGING,Rp55.000,5.0100+ terjual,Bogor,Orchid Cosmetic,False,5.0,https://www.tokopedia.com/orchidcosmetic/viva-paket-skincare-promo-hemat-glowing-flek-hitam-anti-aging-pkt-antiaging4-bf660?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
[BPOM] THE FACE Temulawak Day & Night Cream 50gr - Skincare Glowing Recommended BPOM Perawatan Wajah,Rp23.062,4.8100rb+ terjual,Jakarta Utara,Cressindo,True,4.8,https://www.tokopedia.com/cressindo/bpom-the-face-temulawak-day-night-cream-50gr-skincare-glowing-recommended-bpom-perawatan-wajah-1729432221014002387?extParam=ivf%3Dtrue%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
Bening’s New Packaging Paket Dasar Men’s Series Skincare,Rp555.000,4.9100+ terjual,Jakarta Selatan,Benings Clinic Indonesia Official,True,4.9,https://www.tokopedia.com/officialbeningsclinic/bening-s-new-packaging-paket-dasar-men-s-series-skincare-dark-spot-b1f64?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
[Super Brand Day] Garnier Paket Skincare Set ISI 5 ISI 3 | Micellar Water + Serum Cleanser Moisturizer Gel Night Cream Super UV Sunscreen SPF,Rp86.550,4.350+ terjual,Tangerang,Garnier Official Store,True,4.3,https://www.tokopedia.com/garnierofficial/super-brand-day-garnier-paket-skincare-set-isi-5-isi-3-micellar-water-serum-cleanser-moisturizer-gel-night-cream-super-uv-sunscreen-spf-package-1-ea48d?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
"Whitelab 5pcs Paket Acne Lengkap - Facial Wash, Toner, Serum, Moisturizer, Acne Cream Paket Skincare Perawatan Wajah Treatment Muka Berjerawat Hitam Pencerah",Rp252.400,4.93rb+ terjual,Jakarta Utara,Whitelab_id_NEW,True,4.9,https://www.tokopedia.com/whitelab/whitelab-5pcs-paket-acne-lengkap-facial-wash-toner-serum-moisturizer-acne-cream-paket-skincare-perawatan-wajah-treatment-muka-berjerawat-hitam-pencerah-1729664796923824784?extParam=ivf%3Dtrue%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
Glowsophy CICA Centella Soothing Moisturizer Calming Redness Panthenol Mugwort Gel Day and Night Skincare 100 ml,Rp43.000,4.950rb+ terjual,Jakarta Timur,Glowsophy,True,4.9,https://www.tokopedia.com/glowsophy/glowsophy-cica-centella-soothing-moisturizer-calming-redness-panthenol-mugwort-gel-day-and-night-skincare-100-ml-1729726443416159615?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
FYC [3IN1] & [5IN1] Nuface Paket Perawatan Mencerahkan Wajah / Perawatan Jerawat / Anti Penuaan (skincare set / skincare fuji) Membersihkan  Muka,Rp99.900,4.9100rb+ terjual,Jakarta Barat,NufaceID_NEW,True,4.9,https://www.tokopedia.com/nufaceid/fyc-3in1-5in1-nuface-paket-perawatan-mencerahkan-wajah-perawatan-jerawat-anti-penuaan-skincare-set-skincare-fuji-membersihkan-muka-1729549168808331821?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch%26whid%3D18264611
Natur-E White Trubright - 4 - Paket Skincare & Vitamin,Rp160.230,4.9250+ terjual,Tangerang,Natur-E Official Store,True,4.9,https://www.tokopedia.com/nature-official/natur-e-white-trubright-4-paket-skincare-vitamin?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D202503240530064D772CA12E0FD8011MS5%26src%3Dsearch
